CommentId,VideoId,split
Ugg2KwwX0V8-aXgCoAEC,04kJtp6pVXI,validation
Ugg2s5AzSPioEXgCoAEC,04kJtp6pVXI,validation
Ugg3dWTOxryFfHgCoAEC,04kJtp6pVXI,validation
Ugg7Gd006w1MPngCoAEC,04kJtp6pVXI,validation
Ugg8FfTbbNF8IngCoAEC,04kJtp6pVXI,validation
Ugg9a6FtoXdxmXgCoAEC,04kJtp6pVXI,validation
Ugga9KzkNDGvlXgCoAEC,04kJtp6pVXI,validation
UggBlIXoph7p-3gCoAEC,04kJtp6pVXI,validation
UggD1aYSn7KOR3gCoAEC,04kJtp6pVXI,validation
UggGm8a1fu8brngCoAEC,04kJtp6pVXI,validation
UggguNlx1Uu89HgCoAEC,04kJtp6pVXI,validation
UggHKcxZ-FvsJ3gCoAEC,04kJtp6pVXI,validation
UggLbJp619j8BHgCoAEC,04kJtp6pVXI,validation
UggMY2Oggks5LngCoAEC,04kJtp6pVXI,validation
UggNrFQh7L5JuXgCoAEC,04kJtp6pVXI,validation
UggPT9Z38D5yt3gCoAEC,04kJtp6pVXI,validation
UggRCZiMOIRLg3gCoAEC,04kJtp6pVXI,validation
UggSYiWItbnmgngCoAEC,04kJtp6pVXI,validation
Uggt6lvUxwS-7XgCoAEC,04kJtp6pVXI,validation
Uggte-vb2ZLTQ3gCoAEC,04kJtp6pVXI,validation
UggtH27r-TTcZHgCoAEC,04kJtp6pVXI,validation
UggtknH4gMWWfXgCoAEC,04kJtp6pVXI,validation
Ugg-ucO02B7XO3gCoAEC,04kJtp6pVXI,validation
UgguFITdgu455HgCoAEC,04kJtp6pVXI,validation
UggwBWh5il3cfXgCoAEC,04kJtp6pVXI,validation
UggWg1MBoBR7x3gCoAEC,04kJtp6pVXI,validation
UggxCL2J1VOhLHgCoAEC,04kJtp6pVXI,validation
UggY2U73L3toO3gCoAEC,04kJtp6pVXI,validation
Uggy6MHKQWnfo3gCoAEC,04kJtp6pVXI,validation
UggyCKjvUlfBYHgCoAEC,04kJtp6pVXI,validation
UggYHsvinXkgM3gCoAEC,04kJtp6pVXI,validation
UggyJcZ89cWxUngCoAEC,04kJtp6pVXI,validation
Ugh0tf8ZI_s6z3gCoAEC,04kJtp6pVXI,validation
Ugh1YgMkYS1iingCoAEC,04kJtp6pVXI,validation
Ugh4DQdAIl3qUXgCoAEC,04kJtp6pVXI,validation
Ugh6foWeFvORtXgCoAEC,04kJtp6pVXI,validation
Ugh8Z3_R5r7iungCoAEC,04kJtp6pVXI,validation
UghANuDr-RLrqXgCoAEC,04kJtp6pVXI,validation
UghBkatZ4WY1uXgCoAEC,04kJtp6pVXI,validation
UghBYihvgoUqcHgCoAEC,04kJtp6pVXI,validation
UghcKD-yV_JR5XgCoAEC,04kJtp6pVXI,validation
UghcMPVXe6XJengCoAEC,04kJtp6pVXI,validation
UghCqsUPSUHkF3gCoAEC,04kJtp6pVXI,validation
UghEcCSj9amFtXgCoAEC,04kJtp6pVXI,validation
UgheEXayk90xIngCoAEC,04kJtp6pVXI,validation
UghHgshwzX7053gCoAEC,04kJtp6pVXI,validation
UghIBNvkzZh-xHgCoAEC,04kJtp6pVXI,validation
UghICkPqoL9jJ3gCoAEC,04kJtp6pVXI,validation
UghKXFnZ33ZOSXgCoAEC,04kJtp6pVXI,validation
UghlkAzZr3_fI3gCoAEC,04kJtp6pVXI,validation
Ughm_dpizWFohHgCoAEC,04kJtp6pVXI,validation
UghmRzgOUqMozXgCoAEC,04kJtp6pVXI,validation
Ughn17bxW7f5QXgCoAEC,04kJtp6pVXI,validation
Ughnjn7WwwIgbHgCoAEC,04kJtp6pVXI,validation
UghnzyBgv-jQ9ngCoAEC,04kJtp6pVXI,validation
UghofW5VYVB8n3gCoAEC,04kJtp6pVXI,validation
UgholOxRzEdkW3gCoAEC,04kJtp6pVXI,validation
UghOm2iqM9-AYngCoAEC,04kJtp6pVXI,validation
UghOrBUXagc6J3gCoAEC,04kJtp6pVXI,validation
UghP0v4pSXeRY3gCoAEC,04kJtp6pVXI,validation
UghPM1HvcyCWxHgCoAEC,04kJtp6pVXI,validation
UghpqNHDIz3pMngCoAEC,04kJtp6pVXI,validation
UghpY-GpHN0YpngCoAEC,04kJtp6pVXI,validation
UghR9QQYvJx-RHgCoAEC,04kJtp6pVXI,validation
UghRKLaioSvLOHgCoAEC,04kJtp6pVXI,validation
UghRygE9vO9A83gCoAEC,04kJtp6pVXI,validation
Ughs3w350i3DvXgCoAEC,04kJtp6pVXI,validation
UghTCrl4YYJ-qHgCoAEC,04kJtp6pVXI,validation
UghtQ_3FOmw6W3gCoAEC,04kJtp6pVXI,validation
UghTxr-iist_7ngCoAEC,04kJtp6pVXI,validation
UghVbr3QCu8ckngCoAEC,04kJtp6pVXI,validation
UghVVDZrCYMG_3gCoAEC,04kJtp6pVXI,validation
UghvxEUB679Ug3gCoAEC,04kJtp6pVXI,validation
UghWdXOwEJc0eHgCoAEC,04kJtp6pVXI,validation
UghWm5GCsm7byXgCoAEC,04kJtp6pVXI,validation
UghY8Jytv5XqC3gCoAEC,04kJtp6pVXI,validation
UghyTs2sJC_jSXgCoAEC,04kJtp6pVXI,validation
Ughzp24D_j0sw3gCoAEC,04kJtp6pVXI,validation
Ugi0Cfb82xGsongCoAEC,04kJtp6pVXI,validation
Ugi1CjkwLYHcvHgCoAEC,04kJtp6pVXI,validation
Ugi2H0FCe-_y4ngCoAEC,04kJtp6pVXI,validation
Ugi3AdgMRYrQUHgCoAEC,04kJtp6pVXI,validation
Ugi8SNusKxJjQXgCoAEC,04kJtp6pVXI,validation
UgiBmDegoK7fvHgCoAEC,04kJtp6pVXI,validation
UgiBZnwqmnNYUXgCoAEC,04kJtp6pVXI,validation
Ugif7J_LQBVe_HgCoAEC,04kJtp6pVXI,validation
Ugi-hbdDmIuKVHgCoAEC,04kJtp6pVXI,validation
Ugi-HtibDw0eongCoAEC,04kJtp6pVXI,validation
UgiIASdSnR-gi3gCoAEC,04kJtp6pVXI,validation
